Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D ,SMA(High) 10D ,SMA(Low) 10D ,SMA(Close) 10D ,SMA(Adj Close) 10D ,SMA(Volume) ,
06-07-2020,1805,1858,1792.099976,1851.800049,1845.862061,21697962,,,,,,
07-07-2020,1860,1864.349976,1806.300049,1823.449951,1817.602905,16239990,,,,,,
08-07-2020,1824.050049,1834.949951,1790,1798,1792.234497,12093186,,,,,,
09-07-2020,1809,1835,1786.25,1824.25,1818.400391,16807336,,,,,,
10-07-2020,1828.5,1884.599976,1824.25,1878.050049,1872.027832,20195218,,,,,,
13-07-2020,1903.349976,1947.699951,1900,1935,1928.795166,32124262,,,,,,
14-07-2020,1934,1941.699951,1887.300049,1917,1910.852905,31073305,,,,,,
15-07-2020,1937.949951,1978.800049,1798,1844,1838.087036,64457578,,,,,,
16-07-2020,1847,1869,1812.449951,1843.400024,1837.489014,28133826,,,,,,
17-07-2020,1845,1920,1838,1911.699951,1905.569824,22948894,1859.385,1893.410,1823.465,1862.665,1856.692,26577156
20-07-2020,1917.800049,1932,1899.650024,1919.900024,1913.743652,16887635,1870.665,1900.810,1834.220,1869.475,1863.480,26096123
21-07-2020,1939,1977,1936.5,1971.550049,1965.228027,19463004,1878.565,1912.075,1847.240,1884.285,1878.243,26418424
22-07-2020,1983,2010,1960.699951,2004,1997.573975,27584518,1894.460,1929.580,1864.310,1904.885,1898.777,27967558
23-07-2020,2003.949951,2079.699951,1991.349976,2057.800049,2051.201416,26921017,1913.955,1954.050,1884.820,1928.240,1922.057,28978926
24-07-2020,2058,2163,2057.800049,2146.149902,2139.268066,55655668,1936.905,1981.890,1908.175,1955.050,1948.781,32524971
27-07-2020,2178.800049,2198.800049,2127.899902,2156.199951,2149.285889,37060665,1964.450,2007.000,1930.965,1977.170,1970.830,33018611
28-07-2020,2156.199951,2194,2150.649902,2177.699951,2170.716797,25435297,1986.670,2032.230,1957.300,2003.240,1996.816,32454810
29-07-2020,2177.899902,2182.800049,2070.449951,2096.649902,2089.926758,33534147,2010.665,2052.630,1984.545,2028.505,2022.000,29362467
30-07-2020,2099,2139.699951,2072,2108.850098,2102.087891,33623699,2035.865,2079.700,2010.500,2055.050,2048.460,29911454
31-07-2020,2114.5,2129,2052.800049,2067.100098,2060.47168,34593133,2062.815,2100.600,2031.980,2070.590,2063.950,31075878
03-08-2020,2051.300049,2057,2003.099976,2009,2002.557861,21559142,2076.165,2113.100,2042.325,2079.500,2072.832,31543029
04-08-2020,2020.599976,2167,2000.25,2150.600098,2143.703857,42476932,2084.325,2132.100,2048.700,2097.405,2090.679,33844422
05-08-2020,2169,2196,2118.300049,2126.449951,2119.631348,34404810,2102.925,2150.700,2064.460,2109.650,2102.885,34526451
06-08-2020,2157,2167.699951,2107.800049,2134.100098,2127.256836,22762545,2118.230,2159.500,2076.105,2117.280,2110.491,34110604
07-08-2020,2129.800049,2157.800049,2120.199951,2146.449951,2139.567139,15222303,2125.410,2158.980,2082.345,2117.310,2110.521,30067267
10-08-2020,2159.100098,2165,2108.100098,2119.850098,2113.05249,12441573,2123.440,2155.600,2080.365,2113.675,2106.897,27605358
11-08-2020,2134.800049,2160,2100.350098,2133.800049,2126.957764,21611256,2121.300,2152.200,2075.335,2109.285,2102.521,27222954
12-08-2020,2121,2145,2106.800049,2127.600098,2120.777832,13967116,2115.610,2148.420,2078.970,2112.380,2105.606,25266251
13-08-2020,2128,2138.899902,2110,2122.050049,2115.245361,11459190,2118.510,2148.340,2082.770,2113.700,2106.922,23049800
14-08-2020,2122.550049,2157,2089.25,2113.800049,2107.021973,15333164,2119.315,2151.140,2086.415,2118.370,2111.577,21123803
17-08-2020,2105,2105,2070.100098,2091.350098,2084.644043,14296834,2124.685,2155.940,2093.115,2126.605,2119.786,20397572
18-08-2020,2085,2134.300049,2082.350098,2118.550049,2111.756592,14097746,2131.125,2152.670,2101.325,2123.400,2116.591,17559654
19-08-2020,2141,2154,2121.350098,2131.550049,2124.715088,15731396,2128.325,2148.470,2101.630,2123.910,2117.100,15692312
